en_source,vn_translate,loi_du_doan
Hello.,Hello.,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"It's not <i>that</i> kind of like, okay? Don't get the wrong idea!","Không phải kiểu ""thích"" như cậu nghĩ đâu, okay? Đừng hiểu lầm nhé!",C?n ti?ng Anh nghi v?n: okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello?,Hello?,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes...,Yes...,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello.,Hello.,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello.,Hello.,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello.,Hello.,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Okay.,Okay.,C?n ti?ng Anh nghi v?n: Okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Okay...,Okay..,C?n ti?ng Anh nghi v?n: Okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Okay.,Okay.,C?n ti?ng Anh nghi v?n: Okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello.,Hello.,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Okay.,Okay.,C?n ti?ng Anh nghi v?n: Okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Okay.,Okay.,C?n ti?ng Anh nghi v?n: Okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello.,Hello.,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello.,Hello.,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Okay.,Okay.,C?n ti?ng Anh nghi v?n: Okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Okay.,Okay.,C?n ti?ng Anh nghi v?n: Okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello.,Hello.,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Yes.,Yes.,C?n ti?ng Anh nghi v?n: Yes | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
