database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_once_tower_challenge.db,TowerChallengeConfig,Id,1,Content,general,translated,,PASS,10,,,,,Physical Training 1,Rèn Luyện Thể Chất 1,
lang_once_tower_challenge.db,TowerChallengeConfig,Id,3,Content,general,translated,,PASS,10,,,,,"Physical fitness is the basis of exploration, make use of trainings to better adapt to the underground habits.","Thể lực là nền tảng của việc thám hiểm, hãy tận dụng các buổi rèn luyện để thích nghi tốt hơn với cuộc sống dưới lòng đất.",
lang_once_tower_challenge.db,TowerChallengeConfig,Id,4,Content,general,translated,,PASS,10,,,,,"Operation failed, reconsider you tactics and try again.","Thao tác thất bại, hãy cân nhắc lại chiến thuật và thử lại.",
lang_once_tower_challenge.db,TowerChallengeConfig,Id,5,Content,general,translated,,PASS,10,,,,,Physical Training 1,Rèn Luyện Thể Chất 1,
lang_once_tower_challenge.db,TowerChallengeConfig,Id,6,Content,general,translated,,PASS,10,,,,,Physical Training 2,Rèn Luyện Thể Chất 2,
lang_once_tower_challenge.db,TowerChallengeConfig,Id,8,Content,general,translated,,PASS,10,,,,,"Physical fitness is the basis of exploration, make use of trainings to better adapt to the underground habits.","Thể lực là nền tảng của việc thám hiểm, hãy tận dụng các buổi rèn luyện để thích nghi tốt hơn với cuộc sống dưới lòng đất.",
lang_once_tower_challenge.db,TowerChallengeConfig,Id,9,Content,general,translated,,PASS,10,,,,,"Operation failed, reconsider you tactics and try again.","Thao tác thất bại, hãy cân nhắc lại chiến thuật và thử lại.",
lang_once_tower_challenge.db,TowerChallengeConfig,Id,10,Content,general,translated,,PASS,10,,,,,Physical Training 2,Rèn Luyện Thể Chất 2,
lang_once_tower_challenge.db,TowerChallengeConfig,Id,11,Content,general,translated,,PASS,10,,,,,Physical Training 3,Rèn Luyện Thể Chất 3,
lang_once_tower_challenge.db,TowerChallengeConfig,Id,13,Content,general,translated,,PASS,10,,,,,"Physical fitness is the basis of exploration, make use of trainings to better adapt to the underground habits.","Thể lực là nền tảng của việc thám hiểm, hãy tận dụng các buổi rèn luyện để thích nghi tốt hơn với cuộc sống dưới lòng đất.",
lang_once_tower_challenge.db,TowerChallengeConfig,Id,14,Content,general,translated,,PASS,10,,,,,"Operation failed, reconsider you tactics and try again.","Thao tác thất bại, hãy cân nhắc lại chiến thuật và thử lại.",
lang_once_tower_challenge.db,TowerChallengeConfig,Id,15,Content,general,translated,,PASS,10,,,,,Physical Training 3,Rèn Luyện Thể Chất 3,
lang_once_tower_challenge.db,TowerChallengeConfig,Id,16,Content,general,translated,,PASS,10,,,,,Physical Training 4,Rèn Luyện Thể Chất 4,
