database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_1_1,Content,dialogue,translated,,PASS,10,,,,,Hi {PlayerName}. This is Arman from the Spacetrek Collective. Can you come by now?,Chào {PlayerName}. Arman từ Spacetrek Collective đây. Cậu có thể ghé qua ngay bây giờ không?,
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_1_2,Content,dialogue,translated,,PASS,10,,,,,Denia is awake and being kept in isolation at the infirmary. We'd like to work with you on her case.,Denia đã tỉnh và đang được cách ly tại phòng bệnh. Chúng tôi muốn phối hợp với bạn để xử lý trường hợp của cô ấy.,
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_1_3,Content,dialogue,translated,,PASS,10,,,,,Sure.,Được thôi.,
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_1_4,Content,dialogue,translated,,PASS,10,,,,,Sure.,Được thôi.,
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_1_5,Content,dialogue,translated,,PASS,10,,,,,Much appreciated. See you soon.,Cảm ơn nhiều. Hẹn gặp lại sớm nhé.,
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_10_1,Content,dialogue,translated,,PASS,10,,,,,"{PlayerName}, the approvals are through. Everything is set. You can pick up Denia at the station.","{PlayerName}, mọi thủ tục đã xong. Mọi thứ đã sẵn sàng. Cậu có thể đón Denia ở ga rồi.",
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_11_1,Content,dialogue,translated,,PASS,10,,,,,"You're here, {PlayerName}. The procedure and contact list have been sent to your Terminal. All steps and contingency measures are included.","Ngươi đã đến rồi, {PlayerName}. Quy trình và danh sách liên lạc đã được gửi đến Thiết bị đầu cuối của ngươi. Tất cả các bước và phương án dự phòng đều có đủ.",
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_11_2,Content,dialogue,translated,,PASS,10,,,,,Very detailed. I see a Resonance suppression device and declared contact entries. Everyone's agreed on those?,Rất chi tiết. Ta thấy có cả thiết bị triệt tiêu Cộng Hưởng và các mục khai báo tiếp xúc. Mọi người đều đồng ý cả chứ?,
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_11_3,Content,dialogue,translated,,PASS,10,,,,,"Yes. At Denia's request, we used her Terminal to schedule the meetings under a recovery discharge notice. She'll be approaching them today as a student.","Đúng vậy. Theo yêu cầu của Denia, chúng ta đã dùng Thiết bị đầu cuối của cô ấy để sắp xếp các cuộc gặp dưới danh nghĩa thông báo xuất viện phục hồi. Hôm nay, cô ấy sẽ tiếp cận họ với tư cách một học sinh.",
lang_multi_text_2ndhalf.db,MultiText,Id,Main_LahaiRoi_ZRJDYKX_11_4,Content,dialogue,translated,,PASS,10,,,,,"The suppression device was... her idea, a guarantee of cooperation. She said it would make things fair, even though she doesn't really need it in her current state.","Thiết bị kìm hãm ấy... là ý tưởng của cô ta, một sự đảm bảo cho sự hợp tác. Cô ta nói nó sẽ khiến mọi thứ công bằng, dù thực ra ở trạng thái hiện tại, cô ta chẳng cần đến nó.",
