en_source,vn_translate,loi_du_doan
Failed to get update details,Failed to get update details,C?n ti?ng Anh nghi v?n: details; Failed; get; to; update | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 31.0
Failed to load patch type,Failed to load patch type,C?n ti?ng Anh nghi v?n: Failed; load; patch; to; type | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 31.0
DNS resolution error. Error code:,DNS resolution error. Error code:,C?n ti?ng Anh nghi v?n: code; DNS; error; Error; resolution | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 31.0
Web access error. Error code:,Web access error. Error code:,C?n ti?ng Anh nghi v?n: access; code; error; Error; Web | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 31.0
Failed to apply Remote Configuration,Failed to apply Remote Configuration,C?n ti?ng Anh nghi v?n: apply; Configuration; Failed; Remote; to | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 28.0
Roya Frostlands and other areas,Roya Frostlands and other areas,C?n ti?ng Anh nghi v?n: and; areas; Frostlands; other; Roya | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 28.0
Press {0} to continue,Press {0} to continue,C?n ti?ng Anh nghi v?n: continue; Press; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 28.0
Checking for app updates...,Checking for app updates...,C?n ti?ng Anh nghi v?n: app; Checking; for; updates | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Failed to store files,Failed to store files,C?n ti?ng Anh nghi v?n: Failed; files; store; to | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Failed to move file.,Failed to move file.,C?n ti?ng Anh nghi v?n: Failed; file; move; to | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Previous Quest Resources,Previous Quest Resources,C?n ti?ng Anh nghi v?n: Previous; Quest; Resources | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Photosensitive Seizure Warning,Photosensitive Seizure Warning,C?n ti?ng Anh nghi v?n: Photosensitive; Seizure; Warning | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
File Rename Error,File Rename Error,C?n ti?ng Anh nghi v?n: Error; File; Rename | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
UDP Connectivity Test,UDP Connectivity Test,C?n ti?ng Anh nghi v?n: Connectivity; Test; UDP | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
No resources to clean,Không resources to clean,C?n ti?ng Anh nghi v?n: clean; resources; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
No resources to clean,Không resources to clean,C?n ti?ng Anh nghi v?n: clean; resources; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
