database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_1,Content,dialogue,translated,,PASS,10,,,,,What are you looking at?,Cậu đang nhìn gì vậy?,
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_2,Content,dialogue,translated,,PASS,10,,,,,"Ah, there you are. Nothing really. I've just been wondering... if I wanted to land another astronomical investment to study all the Exoswarm coming off this giant mech...","À, cậu đây rồi. Không có gì đâu. Tớ chỉ đang tự hỏi... nếu tớ muốn huy động thêm một khoản đầu tư thiên văn để nghiên cứu toàn bộ đám Exoswarm từ cỗ máy khổng lồ này...",
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_3,Content,dialogue,translated,,PASS,10,,,,,"What kind of pitch would it take to make every major player in Solaris nod along and funnel Credits into my pocket, year after year?","Thì cần phải có lời chào hàng thế nào để mọi nhân vật chủ chốt ở Solaris đều gật gù và đổ Credits vào túi tớ, năm này qua năm khác?",
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_4,Content,dialogue,translated,,PASS,10,,,,,Have you figured it out?,Cậu nghĩ ra chưa?,
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_5,Content,dialogue,translated,,PASS,10,,,,,"Not yet. My conscience won't let me think that far. Luckily, the man who can figure it out is back.",Chưa. Lương tâm không cho tớ nghĩ xa đến thế. May mà người có thể nghĩ ra đã quay lại rồi.,
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_6,Content,dialogue,translated,,PASS,10,,,,,...The old man who promised me the blade? The head of the Spacetrek Collective?,...Ông lão đã hứa trao lưỡi kiếm cho tớ ấy à? Người đứng đầu Spacetrek Collective?,
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_7,Content,dialogue,translated,,PASS,10,,,,,"The very same, but don't let the quick agreement fool you. He's already thinking ten steps ahead. If Ashinohara wasn't in such dire straits, he wouldn't have agreed to forge that blade for you so easily.","Đúng là thế đấy, nhưng đừng để vẻ đồng ý nhanh chóng đánh lừa cậu. Ông ta đã tính trước mười nước rồi. Nếu Ashinohara không lâm vào tình cảnh ngặt nghèo như vậy, ông ta chắc chắn đã không dễ dàng đồng ý rèn lưỡi kiếm đó cho cậu đâu.",
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_8,Content,dialogue,translated,,PASS,10,,,,,"Or at the very least, he'd have made sure he got his pound of flesh in return.",Ít nhất thì ông ta cũng sẽ đòi hỏi một cái giá tương xứng.,
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_14,Content,dialogue,translated,,PASS,10,,,,,Take two. Give yourself a day to look around.,Lần thứ hai nhé. Cho mình một ngày để thăm thú xung quanh đi.,
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_15,Content,dialogue,translated,,PASS,10,,,,,Go on. A Black Shores member will meet you there. Hmph... I still have all of Dr. Luuk's mess to clean up.,Cứ đi đi. Một thành viên của Black Shores sẽ gặp cậu ở đó. Hừm... Ta vẫn còn cả đống mớ hỗn độn của Tiến sĩ Luuk phải dọn dẹp đây.,
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_16,Content,dialogue,translated,,PASS,10,,,,,Understood. I am at your call should you require it.,Hiểu rồi. Tôi sẽ sẵn sàng khi ngài cần.,
lang_multi_text_1sthalf.db,MultiText,Id,Zuoyequnxing_1_17,Content,dialogue,translated,,PASS,10,,,,,"Yes, I'm listening...","Vâng, tôi đang nghe đây...",
