database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_infodisplay.db,InfoDisplay,Id,1,Content,lore,translated,,PASS,10,,,,,Dim Forest Ecological Survey (1),Khảo sát Sinh thái Rừng Mờ (1),
lang_infodisplay.db,InfoDisplay,Id,2,Content,lore,translated,,PASS,10,,,,,"The Dim Forest is, no doubt, the greatest treasure trove in Huanglong, and there is no region that compares to it in terms of species abundance.
Just standing at the entrance of this gate, I could clearly hear the voices of the plants and hear their call.
Even more fortunately, such precious plant data is so close in reach! What the chimpanzee was holding in his hand was exactly what the plantain plant named XXX looked like in the image documents. It was recorded that this fruit, popular among both young and old, had been widely cultivated before the Lament.
However, as a triploid plant, XXX, like most cash crop plants that require breeding techniques, disappeared after the Lament. Information about this fragile species can now be found in some historical literature.
Although regretable this is also the natural law of succession. According to Verina's law, stagnation is one of the most important factors of biological extinction, and this is the inevitable end of XXX in the wild, which has been artificially deprived of its ability to reproduce.","Rừng Mờ Ảnh chắc chắn là kho báu vĩ đại nhất ở Huanglong, không vùng đất nào sánh được về sự phong phú loài.
Chỉ cần đứng trước cổng vào, ta đã nghe rõ tiếng thì thầm của cây cối và lời mời gọi của chúng.
May mắn thay, những dữ liệu thực vật quý giá này lại nằm trong tầm tay! Thứ mà con tinh tinh đang cầm trên tay chính là hình ảnh của cây mã đề tên XXX trong tài liệu.
Ghi chép cho thấy loại quả này, được cả già lẫn trẻ ưa chuộng, từng được trồng rộng rãi trước Thảm Họa.
Tuy nhiên, với tư cách là một loài tam bội, XXX, giống như hầu hết các loại cây trồng thương mại đòi hỏi kỹ thuật nhân giống, đã biến mất sau Thảm Họa. Thông tin về loài sinh vật mỏng manh này giờ chỉ còn trong một số tài liệu lịch sử.
Dù đáng tiếc, đây cũng là quy luật tự nhiên của sự kế thừa. Theo định luật Verina, sự đình trệ là một trong những yếu tố quan trọng dẫn đến tuyệt chủng sinh học, và đây chính là kết cục tất yếu của XXX trong tự nhiên, khi khả năng sinh sản của nó đã bị con người tước đoạt.",
lang_infodisplay.db,InfoDisplay,Id,3,Content,lore,translated,,PASS,10,,,,,Dim Forest Ecological Survey (2),Khảo sát Sinh thái Rừng Mờ (2),
lang_infodisplay.db,InfoDisplay,Id,4,Content,lore,translated,,PASS,10,,,,,"Guided by the XXX and the sounds of the plant, I came to this stunningly beautiful large tree with purple branches and leaves.
Judging from the shape of the leaves, it is possible that this plant is a subspecies of Ficus arborvitae. However, the origin of the wonderful purple color on the leaves is unknown, and further research is needed to verify it.
The large tree is perennially cooped up with parenting female orangutans underneath, which makes them sensitive and rabid. To avoid a head-on confrontation, I plucked a large amount of gorilla hair through days of collecting and making it a coat. By such means, I took and effort to get close enough to the big tree and collected samples of some of the leaves.
However, because of the season, no samples of the flowers as well as the fruits of the species were collected, and no pollinating insects were seen in the vicinity. There are still many mysteries to be revealed.
But I am sure that this is the first time this species is discovered. I tentatively named it XXX and made an appointment with it to come back sometime to hear its story of more than a century.
Goodbye, XXX and I'll see you again when the season is right.","Được dẫn dắt bởi XXX và âm thanh của loài thực vật này, tôi đã đến bên một cây cổ thụ tuyệt đẹp với những cành lá màu tím.
Dựa vào hình dáng lá, có thể đây là một phân loài của Ficus arborvitae. Tuy nhiên, nguồn gốc của sắc tím kỳ diệu trên lá vẫn còn là ẩn số, cần nghiên cứu thêm để xác minh.
Cây cổ thụ quanh năm có những con đười ươi cái đang nuôi con trú ngụ bên dưới, khiến chúng trở nên nhạy cảm và hung dữ. Để tránh đối đầu trực diện, tôi đã mất nhiều ngày thu thập lông đười ươi và may thành một chiếc áo khoác. Nhờ vậy, tôi mới có thể tiếp cận cây cổ thụ và lấy mẫu một số lá.
Tuy nhiên, do mùa vụ, tôi không thu thập được mẫu hoa hay quả của loài này, cũng không thấy côn trùng thụ phấn nào quanh đây. Vẫn còn quá nhiều bí ẩn cần khám phá.
Nhưng tôi chắc chắn đây là lần đầu loài này được phát hiện. Tôi tạm đặt tên nó là XXX và hẹn sẽ quay lại vào mùa thích hợp để nghe câu chuyện trăm năm của nó.
Tạm biệt, XXX, hẹn gặp lại khi mùa đến.",
lang_infodisplay.db,InfoDisplay,Id,5,Content,lore,translated,,PASS,10,,,,,Dim Forest Ecological Survey (3),Khảo sát Sinh thái Rừng Mờ (3),
lang_infodisplay.db,InfoDisplay,Id,6,Content,lore,translated,,PASS,10,,,,,"After bidding farewell to the Xxx, I headed towards the most important goal, the Confinement Woods.
It was a tree that was visually over 200m high, and anyone could smell the aura of great adventure emanating from this giant tree. Its presence seemed to indicate the infinite power of life, and I and Xxx were attracted by its vitality like then afternoon sun. We were involuntarily leaping and cheering.
But the closer we get to the tree, the more anxious the plants sound. Even the duckweed beneath the feet are making strange noises.
I rarely find this phenomenon outside the radiation range of Tacet Fields. Finding the source of this phenomenon may be lead to the reason why the trees throughout the Dim Forest, both the Confinement Woods and the Xxx just now are so huge.
So what am I waiting for? It's better to get up and go now than to sit and talk!","Sau khi từ biệt Xxx, tôi tiến về mục tiêu quan trọng nhất – Khu Rừng Giam Cầm.
Đó là một cái cây cao hơn 200 mét, và bất cứ ai cũng có thể cảm nhận được hơi thở phiêu lưu toát ra từ gã khổng lồ này. Sự hiện diện của nó dường như tượng trưng cho sức sống vô tận, và tôi cùng Xxx bị cuốn hút bởi sinh khí ấy như ánh nắng buổi chiều. Chúng tôi không kìm được mà nhảy cẫng lên, reo hò.
Nhưng càng đến gần cây, âm thanh của thực vật càng trở nên bất an. Ngay cả những đám bèo dưới chân cũng phát ra tiếng động kỳ lạ.
Hiếm khi tôi bắt gặp hiện tượng này ngoài phạm vi bức xạ của Tổ Tacet. Tìm ra nguồn gốc của nó có thể dẫn đến lời giải cho việc tại sao cây cối khắp Rừng Mờ – cả Khu Rừng Giam Cầm lẫn Xxx vừa rồi – lại cao lớn đến vậy.
Vậy còn chần chừ gì nữa? Đứng dậy đi ngay còn hơn ngồi nói suông!",
lang_infodisplay.db,InfoDisplay,Id,7,Content,lore,translated,,PASS,10,,,,,Dim Forest Ecological Survey (4),Khảo sát Sinh thái Rừng Mờ (4),
lang_infodisplay.db,InfoDisplay,Id,8,Content,lore,translated,,PASS,10,,,,,"Whew, I don't know when the last time was when I had such a strenuous movement.
The shell of the car I stepped on when I jumped down was surprisingly hiding a TD of XXX. It was the first time I saw such a persistent TD, which started to chase as if really enraged. It chased me from the Confinement Woods all the way here before I could get rid of it.

But this is already near the Tacet Field, with soil barren and the plants left with only sounds of pain. There is nothing I can do for plants in this state. I have to cheer up! Decay and extinction are also part of ecology. Nature is not always gentle, and it is my duty to detect and witness it.","Ôi, không biết lần cuối tôi phải di chuyển vất vả như thế này là khi nào.
Vỏ xe tôi đạp lên khi nhảy xuống lại giấu một Tổ Tacet XXX bất ngờ. Đây là lần đầu tôi thấy một Tổ Tacet dai dẳng đến vậy, nó đuổi theo như thể thực sự nổi giận. Nó đuổi tôi từ Khu Rừng Giam Cầm đến tận đây trước khi tôi kịp thoát thân.

Nhưng nơi này đã gần Tổ Tacet, đất đai cằn cỗi, cây cối chỉ còn những âm thanh đau đớn. Tôi chẳng thể làm gì cho chúng trong tình trạng này. Phải phấn chấn lên! Suy tàn và diệt vong cũng là một phần của sinh thái. Tự nhiên không phải lúc nào cũng dịu dàng, và nhiệm vụ của tôi là phát hiện và chứng kiến điều đó.",
lang_infodisplay.db,InfoDisplay,Id,9,Content,lore,translated,,PASS,10,,,,,Dim Forest Ecological Survey (5),Khảo sát Sinh thái Rừng Mờ (5),
lang_infodisplay.db,InfoDisplay,Id,10,Content,lore,translated,,PASS,10,,,,,"The environment of the Confinement Woods is even more magical than expected. A unique canopy ecosystem has formed around the branches of this giant tree.
According to my investigation, the tree's branches contain abundant Resonance Energy within. The energy gathered from around the area of the Dim Forest travels from the top of the tree to the entire trunk. Under the catalyst of this energy, such a huge tree was formed. And it is by relying on these energies that the tree reproduces a whole different ecosystem. Probably because of the ferocious roars that come from time to time within the tree, the tree has no signs of activity from large MO or TD. This gives the plants a better chance to flourish and allows the Remnant Mutterfly to exist.
The skills of the Resonator who created this giant tree is very similar to mine. I guess he is also a nature lover. Otherwise, even with the assistance of the sonic instrument at the top of the tree, it is unlikely that such a large and complex giant tree could have been created.
In order to facilitate future expeditions, I made a little fluorescent decoration on the branch of Confinement Woods as a sign. This will make future research expeditions more efficient. So it's time to go, to explore the depths of the Confinement Woods!","Môi trường của Confinement Woods còn kỳ diệu hơn cả dự đoán. Một hệ sinh thái tán cây độc đáo đã hình thành quanh những cành khổng lồ của cây cổ thụ này.
Theo điều tra của tôi, các nhánh cây chứa đựng nguồn Resonance Energy dồi dào bên trong. Năng lượng thu thập từ khắp khu vực Dim Forest di chuyển từ ngọn cây xuống toàn bộ thân cây. Dưới tác động của năng lượng này, một cây khổng lồ như vậy đã được hình thành. Và chính nhờ những nguồn năng lượng ấy, cây đã tái tạo nên một hệ sinh thái hoàn toàn khác biệt. Có lẽ do những tiếng gầm dữ dội thỉnh thoảng vang lên từ bên trong thân cây, nên không có dấu hiệu hoạt động của các MO hay TD lớn. Điều này tạo điều kiện cho thực vật phát triển mạnh mẽ và cho phép Remnant Mutterfly tồn tại.
Kỹ năng của Resonator tạo ra cây khổng lồ này rất giống với tôi. Tôi đoán anh ấy cũng là một người yêu thiên nhiên. Nếu không, dù có sự hỗ trợ của nhạc cụ âm thanh trên ngọn cây, cũng khó lòng tạo ra một cây khổng lồ phức tạp đến vậy.
Để thuận tiện cho các chuyến thám hiểm sau này, tôi đã tạo một chút trang trí phát quang trên cành của Confinement Woods làm dấu hiệu. Điều này sẽ giúp các chuyến nghiên cứu sau này hiệu quả hơn. Vậy là đã đến lúc lên đường, khám phá sâu hơn vào lòng Confinement Woods!",
