Term100001_Title	Tune Break
Term100002_Title	Tune Rupture - Shifting
Term100003_Title	Tune Strain - Shifting
Term100004_Title	Tune Rupture - Interfered
Term100005_Title	Tune Strain - Interfered
Term110801_Title	Dedication
Term110802_Title	Frostheart
Term110803_Title	Frostharden Iai
Term110804_Title	Whiteout Bitterfrost
Term110805_Title	Snowforged Blade
Term110806_Title	Present Self
Term110807_Title	Foreclaimed Self
Term110808_Title	Frostbind
Term110809_Title	Glacio Bite
Term120801_Title	Afterflame
Term120802_Title	Sinflame
Term120803_Title	Purging Flame
Term120804_Title	Threshold State
Term120805_Title	Demon Hypostasis
Term120806_Title	Eternal Hypostasis
Term120807_Title	Burning Drive
Term120901_Title	Baseline Mode
Term120902_Title	Wide Field Observation Mode
Term120903_Title	Rest Mass Energy
Term120904_Title	Relative Momentum
Term120905_Title	Observation Marker
Term120906_Title	Interfered Marker
Term120907_Title	Syntony Field
Term120908_Title	High Syntony Field
Term121001_Title	Instant Response
Term121002_Title	Stardust Resonance
Term121003_Title	Heavenfall Edict: Unbound
Term121004_Title	Synchronization Rate
Term121005_Title	Resonance Rate
Term121006_Title	Starlume Acceleration
Term121007_Title	Seraphic Duet
Term121008_Title	Sync Strike
Term121009_Title	Starflux
Term121012_Title	Rupturous Trail
Term121013_Title	Fusion Trail
Term121101_Title	Dark Core
Term121102_Title	Void Particle
Term121103_Title	Entropy Shift: Breakdown Form
Term121104_Title	Entropy Shift: Stagecraft Form
Term121105_Title	Conformal Charge
Term121106_Title	Entropy Shift
Term130601_Title	Crown of Wills
Term130602_Title	Prowess
Term130603_Title	Ascendancy
Term130604_Title	Majesty
Term130605_Title	Ruler's Realm
Term130606_Title	Sworn Allegiance
Term130701_Title	Trigram
Term130702_Title	Yin-Yang Balance
Term130703_Title	Five Thunders Spell Array
Term130704_Title	Thunder Spell - Heaven, Earth, Mind
Term141001_Title	Lunar Cycle
Term141002_Title	Blessing of the Wan Light
Term141003_Title	Sentience
Term141101_Title	Swordster's Soliloquy
Term141102_Title	Inksplash of Mind
Term141103_Title	Bamboo's Shade
Term141201_Title	Rune
Term141202_Title	Full Stop
Term141203_Title	Innate Gift?
Term141204_Title	Divergent
Term141205_Title	Convergent
Term141206_Title	Soliskin Vitality
Term141207_Title	Decipher
Term141208_Title	Encapsulated
Term150801_Title	Unseen Snare
Term150802_Title	Thread of Bane
Term150803_Title	Ring of Chainsaw
Term150804_Title	Lifethread - Jetstream
Term150805_Title	Woven Myriad - Convergence
