database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_weapon.db,WeaponConf,Id,3,Content,item,translated,,PASS,10,,,,,Weapon,Vũ khí,
lang_weapon.db,WeaponConf,Id,4,Content,item,translated,,PASS,10,,,,,"A blade born of service to the law. Ornamentation resembling the law is engraved on its body. Swear on the alliance, glory shall come!","Lưỡi kiếm sinh ra để phụng sự công lý. Những hoa văn giống biểu tượng pháp luật được khắc trên thân kiếm. Thề trên liên minh, vinh quang sẽ đến!",
lang_weapon.db,WeaponConf,Id,5,Content,item,translated,,PASS,10,,,,,"A blade born of service to the law. Ornamentation resembling the law is engraved on its body. Swear on the alliance, glory shall come!","Lưỡi kiếm sinh ra để phụng sự công lý. Những hoa văn giống biểu tượng pháp luật được khắc trên thân kiếm. Thề trên liên minh, vinh quang sẽ đến!",
lang_weapon.db,WeaponConf,Id,6,Content,item,translated,,PASS,10,,,,,"A broadblade that hosts the collective will. Wherever it passes, it manifests an unbreakable power of unity.","Broadblade chứa đựng ý chí tập thể. Nơi nào nó đi qua, sức mạnh đoàn kết bất diệt sẽ hiện hình.",
lang_weapon.db,WeaponConf,Id,8,Content,item,translated,,PASS,10,,,,,"Increases ATK by {2}%. Each time you deal damage to a target, a stack is accumulated for 5 seconds, 10 stacks max.. Only 1 stack every 0.4 seconds. Each stack increases ATK by {0}%. When there are 10 stacks, ATK is increased by an additional {1}%.","Tăng ATK {2}%. Mỗi khi gây DMG lên mục tiêu, cộng dồn 1 tầng trong 5 giây, tối đa 10 tầng. Chỉ cộng dồn 1 tầng mỗi 0.4 giây. Mỗi tầng tăng ATK {0}%. Khi đạt 10 tầng, ATK được tăng thêm {1}%.",
lang_weapon.db,WeaponConf,Id,9,Content,item,translated,,PASS,10,,,,,Weapon,Vũ khí,
lang_weapon.db,WeaponConf,Id,10,Content,item,translated,,PASS,10,,,,,A blade born of service to the law. Ornamentation resembling the law is engraved on its body. It bears the supreme will of its user.,Lưỡi kiếm sinh ra để phụng sự công lý. Những hoa văn giống biểu tượng pháp luật được khắc trên thân kiếm. Nó mang theo ý chí tối cao của người sử dụng.,
lang_weapon.db,WeaponConf,Id,11,Content,item,translated,,PASS,10,,,,,A blade born of service to the law. Ornamentation resembling the law is engraved on its body. It bears the supreme will of its user.,Lưỡi kiếm sinh ra để phụng sự công lý. Những hoa văn giống biểu tượng pháp luật được khắc trên thân kiếm. Nó mang theo ý chí tối cao của người sử dụng.,
lang_weapon.db,WeaponConf,Id,12,Content,item,translated,,PASS,10,,,,,A blade born of service to the law. Ornamentation resembling the law is engraved on its body.,Lưỡi kiếm sinh ra để phụng sự công lý. Những hoa văn giống biểu tượng pháp luật được khắc trên thân kiếm.,
lang_weapon.db,WeaponConf,Id,14,Content,item,translated,,PASS,10,,,,,"DMG of all attributes are raised by {0}%. When normal attacks land, ATK and DEF are raised by {1}%, which lasts for {2} seconds. This can be stacked for max. {3} times and triggered once every {4} seconds.","DMG của tất cả thuộc tính được tăng {0}%. Khi Normal Attack trúng mục tiêu, ATK và DEF tăng {1}%, hiệu ứng kéo dài {2} giây. Có thể cộng dồn tối đa {3} lần và kích hoạt mỗi {4} giây.",
