database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_role_reson.db,RoleResonance,Id,1,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,2,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,3,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,4,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,5,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,6,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,7,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,8,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,9,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,10,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,11,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,12,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,13,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,14,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,15,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,16,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,17,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,18,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,19,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,20,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,21,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,22,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,23,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,24,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,25,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,26,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,27,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,28,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,29,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,30,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,31,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,32,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,33,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,34,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,35,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,36,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,37,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
lang_role_reson.db,RoleResonance,Id,38,Content,general,translated,,PASS,10,,,,,Consumes Life Stars.,Tiêu hao Life Stars.,
