database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_role.db,RoleInfo,Id,1,Content,general,translated,,REVIEW,6,same_as_source,,,,Yangyang,Yangyang,
lang_role.db,RoleInfo,Id,2,Content,general,translated,,PASS,10,,,,,Of Wind and Feathers,Gió và Lông Vũ,
lang_role.db,RoleInfo,Id,3,Content,general,translated,,PASS,10,,,,,"Member of the Obsecurers, a girl who has a special sense with the flow of wind, has the ability to listen to the sound of wind resonance. No matter what kind of difficult situation she is in, she always has a light smile on her face. If you want to protect your own beautiful existence, you also have the awareness to turn the gentleness into a sharp edge.","Thành viên Obsecurers, cô gái có giác quan đặc biệt với luồng gió, có khả năng lắng nghe âm thanh cộng hưởng của gió. Dù trong hoàn cảnh khó khăn nào, cô luôn nở nụ cười nhẹ nhàng. Nếu muốn bảo vệ sự tồn tại tươi đẹp của chính mình, cô cũng sẵn sàng biến sự dịu dàng thành lưỡi dao sắc bén",
lang_role.db,RoleInfo,Id,4,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,5,Content,general,translated,,REVIEW,6,same_as_source,,,,Chixia,Chixia,
lang_role.db,RoleInfo,Id,6,Content,general,translated,,PASS,10,,,,,The Ever Burning Flame,Ngọn Lửa Cháy Bất Tận,
lang_role.db,RoleInfo,Id,7,Content,general,translated,,PASS,10,,,,,"Member of the Ministry of Development, can turn enthusiasm into ammunition, her enthusiasm and her ammunition as never-ending self-proclaimed partner of justice, always full of energy shuttle in the streets of the city of heaven where there are people in need of help, where there will be her figure","Thành viên Bộ Phát Triển, có thể biến nhiệt huyết thành đạn dược, sự hăng hái và đạn dược của cô chính là ""đối tác công lý"" tự xưng không bao giờ cạn, luôn tràn đầy năng lượng lướt qua các con phố trên Thiên Đô, nơi nào cần giúp đỡ, nơi đó sẽ có bóng dáng của cô",
lang_role.db,RoleInfo,Id,8,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,12,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,13,Content,general,translated,,PASS,10,,,,,Rover,Rover,
lang_role.db,RoleInfo,Id,14,Content,general,translated,,PASS,10,,,,,Vessel of Sound,Âm Khí,
lang_role.db,RoleInfo,Id,15,Content,general,translated,,PASS,10,,,,,"A Resonator, whose origin is unknown, has the power to absorb all sounds, and in order to find memories and embark on a journey to continuously establish links with others, so that the original empty heart is gradually filled with precious emotions and memories","Một Resonator với nguồn gốc bí ẩn, sở hữu khả năng hấp thụ mọi âm thanh. Để tìm lại ký ức và bắt đầu hành trình kết nối với người khác, trái tim trống rỗng của họ dần được lấp đầy bởi những cảm xúc và kỷ niệm quý giá.",
lang_role.db,RoleInfo,Id,16,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,17,Content,general,translated,,REVIEW,6,same_as_source,,,,San'hua,San'hua,
lang_role.db,RoleInfo,Id,18,Content,general,translated,,PASS,10,,,,,Snow Dance Flora,Hoa Vũ Tuyết,
lang_role.db,RoleInfo,Id,19,Content,general,translated,,PASS,10,,,,,"Jin'xi's close guard, who had personally buried the sin under the snow, also infected with abnormal vision in the eyes of San'hua, everything in the world will be distorted into strange shapes, only Imaishi is normal and pure, not alienated reality","Vệ sĩ thân cận của Jin'xi, người từng tự tay chôn vùi tội lỗi dưới tuyết, cũng bị nhiễm ảo giác kỳ lạ trong mắt San'hua. Mọi thứ trên thế giới đều bị bóp méo thành hình thù quái dị, chỉ có Imaishi là bình thường và thuần khiết, không bị thực tại tha hóa.",
lang_role.db,RoleInfo,Id,20,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,21,Content,general,translated,,REVIEW,6,same_as_source,,,,Taoqi,Taoqi,
lang_role.db,RoleInfo,Id,22,Content,general,translated,,PASS,10,,,,,Power of Xuanwu,Sức Mạnh Huyền Vũ,
lang_role.db,RoleInfo,Id,23,Content,general,translated,,PASS,10,,,,,"Acting Chief of Ministry of Development, inherited the ""power of the Xuanwu"" leisurely nature, relaxed, seemingly lazy, but in fact very serious and responsible, understanding every detail of Heavenly Work, and then the complicated affairs can also be handled in an orderly manner","Quyền Trưởng Bộ Phát Triển, thừa hưởng bản tính ""sức mạnh Huyền Vũ"" điềm tĩnh, thoải mái, trông có vẻ lười biếng nhưng thực chất rất nghiêm túc và có trách nhiệm, nắm rõ từng chi tiết của Thiên Công, và thậm chí cả những công việc phức tạp cũng được xử lý một cách trật tự.",
lang_role.db,RoleInfo,Id,24,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,25,Content,general,translated,,PASS,10,,,,,Rover,Rover,
lang_role.db,RoleInfo,Id,26,Content,general,translated,,PASS,10,,,,,Vessel of Sound,Âm Khí,
lang_role.db,RoleInfo,Id,27,Content,general,translated,,PASS,10,,,,,"A Resonator, whose origin is unknown, has the power to absorb all sounds, and in order to find memories and embark on a journey to continuously establish links with others, so that the original empty heart is gradually filled with precious emotions and memories","Một Resonator với nguồn gốc bí ẩn, sở hữu khả năng hấp thụ mọi âm thanh. Để tìm lại ký ức và bắt đầu hành trình kết nối với người khác, trái tim trống rỗng của họ dần được lấp đầy bởi những cảm xúc và kỷ niệm quý giá.",
lang_role.db,RoleInfo,Id,28,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,29,Content,general,translated,,PASS,10,,,,,Bailian,Bách Luyện,
lang_role.db,RoleInfo,Id,30,Content,general,translated,,PASS,10,,,,,Sadness Enshroud,Bóng Tối U Sầu,
lang_role.db,RoleInfo,Id,31,Content,general,translated,,PASS,10,,,,,"An archaeologist at the Hwonglun, she is attached to a remnant creature called the ""You Tan"" and hates to get entangled with others, and pursues the extreme rational principle of ""self-responsibility"", often exploring ruins alone.","Một nhà khảo cổ tại Hwonglun, cô gắn bó với một sinh vật còn sót lại gọi là ""You Tan"" và không thích bị vướng bận với người khác, theo đuổi nguyên tắc duy lý cực đoan ""tự chịu trách nhiệm"", thường xuyên một mình thám hiểm các tàn tích.",
lang_role.db,RoleInfo,Id,32,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,33,Content,general,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_role.db,RoleInfo,Id,34,Content,general,translated,,PASS,10,,,,,Yin Yang Sheep,Cừu Âm Dương,
lang_role.db,RoleInfo,Id,35,Content,general,translated,,PASS,10,,,,,"Member of the Black Shores, the new federal origin was illegally transformed by the dark past into a black sheep, and the simple good nature of the white sheep wrestle with each other like the dawn piercing the night, An'ke's cheerfulness shines around, but few people know her fear of facing the darkness directly","Thành viên Bờ Biển Đen, xuất thân liên bang mới nhưng bị quá khứ đen tối biến thành kẻ lạc loài, bản tính lương thiện của cô như ánh bình minh xuyên qua màn đêm giằng co với bóng tối, niềm vui rạng rỡ của An'ke lan tỏa khắp nơi, nhưng ít ai biết được nỗi sợ hãi khi phải đối diện trực tiếp với bóng tối trong cô",
lang_role.db,RoleInfo,Id,36,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,37,Content,general,translated,,REVIEW,6,same_as_source,,,,Danjin,Danjin,
lang_role.db,RoleInfo,Id,38,Content,general,translated,,PASS,10,,,,,Crimson Blades,Lưỡi Kiếm Đỏ Thẫm,
lang_role.db,RoleInfo,Id,39,Content,general,translated,,PASS,10,,,,,"Member of the Obsecurers, with strong psychic powers, while suffering from the pain of the withered kinship thirst for family love almost paranoid, if someone dares to hurt her ""family"", even if they do their best, will not tolerate","Thành viên Obsecurers, sở hữu năng lực tâm linh mạnh mẽ, nhưng lại phải chịu đựng nỗi đau từ mối quan hệ gia đình khô héo, khao khát tình thân đến mức ám ảnh. Nếu ai dám động đến ""gia đình"" của cô, dù phải dùng hết sức mình, cô cũng sẽ không tha thứ",
lang_role.db,RoleInfo,Id,40,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,41,Content,general,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_role.db,RoleInfo,Id,44,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,45,Content,general,translated,,REVIEW,6,same_as_source,,,,Taoqi,Taoqi,
lang_role.db,RoleInfo,Id,48,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,52,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,56,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,57,Content,general,translated,,REVIEW,6,same_as_source,,,,Yangyang,Yangyang,
lang_role.db,RoleInfo,Id,60,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,64,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,65,Content,general,translated,,REVIEW,6,same_as_source,,,,Yangyang,Yangyang,
lang_role.db,RoleInfo,Id,68,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,72,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,73,Content,general,translated,,PASS,10,,,,,Rover,Rover,
lang_role.db,RoleInfo,Id,74,Content,general,translated,,PASS,10,,,,,Vessel of Sound,Âm Khí,
lang_role.db,RoleInfo,Id,75,Content,general,translated,,PASS,10,,,,,"A Resonator, whose origin is unknown, has the power to absorb all sounds, and in order to find memories and embark on a journey to continuously establish links with others, so that the original empty heart is gradually filled with precious emotions and memories","Một Resonator với nguồn gốc bí ẩn, sở hữu khả năng hấp thụ mọi âm thanh. Để tìm lại ký ức và bắt đầu hành trình kết nối với người khác, trái tim trống rỗng của họ dần được lấp đầy bởi những cảm xúc và kỷ niệm quý giá.",
lang_role.db,RoleInfo,Id,76,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,77,Content,general,translated,,PASS,10,,,,,Rover,Rover,
lang_role.db,RoleInfo,Id,78,Content,general,translated,,PASS,10,,,,,Vessel of Sound,Âm Khí,
lang_role.db,RoleInfo,Id,79,Content,general,translated,,PASS,10,,,,,"A Resonator, whose origin is unknown, has the power to absorb all sounds, and in order to find memories and embark on a journey to continuously establish links with others, so that the original empty heart is gradually filled with precious emotions and memories","Một Resonator với nguồn gốc bí ẩn, sở hữu khả năng hấp thụ mọi âm thanh. Để tìm lại ký ức và bắt đầu hành trình kết nối với người khác, trái tim trống rỗng của họ dần được lấp đầy bởi những cảm xúc và kỷ niệm quý giá.",
lang_role.db,RoleInfo,Id,80,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,84,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,88,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,90,Content,general,translated,,PASS,10,,,,,Of Wind and Feathers,Gió và Lông Vũ,
lang_role.db,RoleInfo,Id,91,Content,general,translated,,PASS,10,,,,,"Member of the Obsecurers, a girl who has a special sense with the flow of wind, has the ability to listen to the sound of wind resonance. No matter what kind of difficult situation she is in, she always has a light smile on her face. If you want to protect your own beautiful existence, you also have the awareness to turn the gentleness into a sharp edge.","Thành viên Obsecurers, cô gái có giác quan đặc biệt với luồng gió, có khả năng lắng nghe âm thanh cộng hưởng của gió. Dù trong hoàn cảnh khó khăn nào, cô luôn nở nụ cười nhẹ nhàng. Nếu muốn bảo vệ sự tồn tại tươi đẹp của chính mình, cô cũng sẵn sàng biến sự dịu dàng thành lưỡi dao sắc bén",
lang_role.db,RoleInfo,Id,92,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,94,Content,general,translated,,PASS,10,,,,,Of Wind and Feathers,Gió và Lông Vũ,
lang_role.db,RoleInfo,Id,95,Content,general,translated,,PASS,10,,,,,"Member of the Obsecurers, a girl who has a special sense with the flow of wind, has the ability to listen to the sound of wind resonance. No matter what kind of difficult situation she is in, she always has a light smile on her face. If you want to protect your own beautiful existence, you also have the awareness to turn the gentleness into a sharp edge.","Thành viên Obsecurers, cô gái có giác quan đặc biệt với luồng gió, có khả năng lắng nghe âm thanh cộng hưởng của gió. Dù trong hoàn cảnh khó khăn nào, cô luôn nở nụ cười nhẹ nhàng. Nếu muốn bảo vệ sự tồn tại tươi đẹp của chính mình, cô cũng sẵn sàng biến sự dịu dàng thành lưỡi dao sắc bén",
lang_role.db,RoleInfo,Id,96,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,98,Content,general,translated,,PASS,10,,,,,Of Wind and Feathers,Gió và Lông Vũ,
lang_role.db,RoleInfo,Id,99,Content,general,translated,,PASS,10,,,,,"Member of the Obsecurers, a girl who has a special sense with the flow of wind, has the ability to listen to the sound of wind resonance. No matter what kind of difficult situation she is in, she always has a light smile on her face. If you want to protect your own beautiful existence, you also have the awareness to turn the gentleness into a sharp edge.","Thành viên Obsecurers, cô gái có giác quan đặc biệt với luồng gió, có khả năng lắng nghe âm thanh cộng hưởng của gió. Dù trong hoàn cảnh khó khăn nào, cô luôn nở nụ cười nhẹ nhàng. Nếu muốn bảo vệ sự tồn tại tươi đẹp của chính mình, cô cũng sẵn sàng biến sự dịu dàng thành lưỡi dao sắc bén",
lang_role.db,RoleInfo,Id,100,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
lang_role.db,RoleInfo,Id,103,Content,general,translated,,PASS,10,,,,,"Member of the Obsecurers, a girl who has a special sense with the flow of wind, has the ability to listen to the sound of wind resonance. No matter what kind of difficult situation she is in, she always has a light smile on her face. If you want to protect your own beautiful existence, you also have the awareness to turn the gentleness into a sharp edge.","Thành viên Obsecurers, cô gái có giác quan đặc biệt với luồng gió, có khả năng lắng nghe âm thanh cộng hưởng của gió. Dù trong hoàn cảnh khó khăn nào, cô luôn nở nụ cười nhẹ nhàng. Nếu muốn bảo vệ sự tồn tại tươi đẹp của chính mình, cô cũng sẵn sàng biến sự dịu dàng thành lưỡi dao sắc bén",
lang_role.db,RoleInfo,Id,104,Content,general,translated,,PASS,10,,,,,Stay tuned,Hãy chờ nhé.,
