en_source,vn_translate,loi_du_doan
Goal 1: Reach Battle Rank S when the challenge ends,Mục tiêu 1: Reach Battle Rank S khi thử thách kết thúc,C?n ti?ng Anh nghi v?n: Battle; Rank; Reach; S | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
Goal 1: Reach Battle Rank S for more than 10s,Mục tiêu 1: Reach Battle Rank S trong hơn 10 giây,C?n ti?ng Anh nghi v?n: Battle; Rank; Reach; S | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
Goal 1: Reach Battle Rank SS for more than 10s,Mục tiêu 1: Reach Battle Rank SS trong hơn 10 giây,C?n ti?ng Anh nghi v?n: Battle; Rank; Reach; SS | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
Goal 1: Reach Battle Rank SS for more than 10s,Mục tiêu 1: Reach Battle Rank SS trong hơn 10 giây,C?n ti?ng Anh nghi v?n: Battle; Rank; Reach; SS | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
Tactic Hologram: The False Sovereign,Tactic Hologram: The False Sovereign,C?n ti?ng Anh nghi v?n: False; Hologram; Sovereign; Tactic | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
"Obtain 1,000 Tactic Points in Penitent's End Ⅰ",Đạt 1.000 Tactic Points ở Penitent's End I,C?n ti?ng Anh nghi v?n: End; Penitent's; Points; Tactic | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
Ground Remains Echo Challenge: Flight,Ground Remains Echo Challenge: Flight,C?n ti?ng Anh nghi v?n: Challenge; Flight; Ground; Remains | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
KU Neighborhood Check-In Rewards,Rewards Check-In Khu dân cư KU,C?n ti?ng Anh nghi v?n: Check; In; KU; Rewards | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
You've lost your memory too…,Bạn've lost your memory too…,C?n ti?ng Anh nghi v?n: lost; memory; too; your | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
I'll catch… then meet me…,I'll catch… then meet me…,C?n ti?ng Anh nghi v?n: catch; I'll; meet; then | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
Stained glass on the right,Stained glass on the right,C?n ti?ng Anh nghi v?n: glass; on; right; Stained | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
The False Sovereign: Dark Serpent,The False Sovereign: Dark Serpent,C?n ti?ng Anh nghi v?n: Dark; False; Serpent; Sovereign | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
Sublime is the Sun - Sunborne 1,Sublime is the Sun - Sunborne 1,C?n ti?ng Anh nghi v?n: is; Sublime; Sun; Sunborne | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
