database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_calabash.db,CalabashLevel,Id,1,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,2,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,3,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,4,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,5,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,6,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,7,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,8,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,9,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,10,Content,general,translated,,PASS,10,,,,,<color=#59b4d3>Level 3</color>,<color=#59b4d3>Cấp 3</color>,
lang_calabash.db,CalabashLevel,Id,11,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
lang_calabash.db,CalabashLevel,Id,12,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
lang_calabash.db,CalabashLevel,Id,13,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
lang_calabash.db,CalabashLevel,Id,14,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
lang_calabash.db,CalabashLevel,Id,15,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
lang_calabash.db,CalabashLevel,Id,16,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
lang_calabash.db,CalabashLevel,Id,17,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
lang_calabash.db,CalabashLevel,Id,18,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
lang_calabash.db,CalabashLevel,Id,19,Content,general,translated,,PASS,10,,,,,<color=#ca6dff>Level 4</color>,<color=#ca6dff>Cấp 4</color>,
