database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_handbook.db,MonsterHandBook,Id,1,Content,lore,translated,,PASS,10,,,,,Vanguard Junrock,Tiền Phong Junrock,
lang_handbook.db,MonsterHandBook,Id,3,Content,lore,translated,,PASS,10,,,,,"Binomial name ""Resinacrustidum lapis"", member of the Resinacrustidum species. This Tacet Discord is often found active in packs within mines and mountainous areas, along with other Fission Junrocks, relatively low danger level.","Tên khoa học ""Resinacrustidum lapis"", thuộc loài Resinacrustidum. Tacet Discord này thường hoạt động theo bầy trong các khu mỏ và vùng núi, cùng với các Fission Junrock khác, cấp độ nguy hiểm tương đối thấp.",
lang_handbook.db,MonsterHandBook,Id,5,Content,lore,translated,,REVIEW,6,same_as_source,,,,Fission Junrock,Fission Junrock,
lang_handbook.db,MonsterHandBook,Id,7,Content,lore,translated,,PASS,10,,,,,"Binomial name ""Resinacrustidum lapis"", part of the Resinacrustidum species. This Tacet Discord is often found active, along with Vanguard Junrocks, relatively low danger level.","Tên khoa học ""Resinacrustidum lapis"", thuộc loài Resinacrustidum. Tacet Discord này thường hoạt động cùng với các Vanguard Junrock, cấp độ nguy hiểm tương đối thấp.",
lang_handbook.db,MonsterHandBook,Id,9,Content,lore,translated,,PASS,10,,,,,Impulse Predator,Thú Dữ Dội,
lang_handbook.db,MonsterHandBook,Id,11,Content,lore,translated,,PASS,10,,,,,"Binomial name ""Devorsonidum impulsio"", Devourer specis. The left upper limb of the Impulse Predators has evolved into a bow and arrow, which can gather conductive energy to shoot at longer distances.","Tên nhị thức ""Devorsonidum impulsio"", loài Devourer. Chi trước trái của Kẻ Săn Mồi Xung Điện đã tiến hóa thành cung tên, có thể tích tụ năng lượng dẫn điện để bắn xa hơn.",
lang_handbook.db,MonsterHandBook,Id,13,Content,lore,translated,,PASS,10,,,,,Glacio Predator,Thú Dữ Glacio,
lang_handbook.db,MonsterHandBook,Id,15,Content,lore,translated,,PASS,10,,,,,"Binomial name ""Devorsonidum glacies"", Devourer specis, has evolved a body structure similar to a human ""cape"", which is presumed to gather condensation energy more quickly to form a ""projectile ""long-range attack.","Tên nhị thức ""Devorsonidum glacies"", loài Devourer. Cấu trúc cơ thể của chúng tiến hóa giống như một ""áo choàng"" của con người, được cho là để thu thập năng lượng ngưng tụ nhanh hơn nhằm tạo ra đòn tấn công tầm xa kiểu ""phóng đạn"".",
lang_handbook.db,MonsterHandBook,Id,17,Content,lore,translated,,PASS,10,,,,,Pneuma Predator,Thú Dữ Pneuma,
lang_handbook.db,MonsterHandBook,Id,19,Content,lore,translated,,PASS,10,,,,,"Binomial name ""Devorsonidum spiritalis"", a member of the genus Devorsonidum. The Pneuma Predator's throwing weapon is part of its body structure, and can be recovered using its own pneumatic energy after being thrown.","Tên nhị thức ""Devorsonidum spiritalis"", thành viên thuộc chi Devorsonidum. Vũ khí ném của Kẻ Săn Mồi Pneuma là một phần cấu trúc cơ thể, có thể thu hồi bằng năng lượng khí nén của chính nó sau khi ném.",
lang_handbook.db,MonsterHandBook,Id,21,Content,lore,translated,,PASS,10,,,,,Fusion Warrior,Chiến Binh Fusion,
