phrase,count,sample_file,sample_key,sample_translation,sample_source
resonance skill,2210,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,62,"Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.","For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds."
basic attack,1863,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_201010_MonsterTips,"Khi đánh trúng kẻ địch, Basic Attack giảm Cooldown của Resonance Liberation đi 1 giây, kích hoạt tối đa 1 lần mỗi giây.","When hitting an enemy, Basic Attacks reduce the Cooldown of Resonance Liberation by 1 second, triggered up to once every second."
heavy attack,1573,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,26,"Hiệu ứng hồi phục được tăng {0}%. Khi Normal Attack hoặc Heavy Attack trúng mục tiêu, ATK của tất cả nhân vật được tăng {1}% trong 12 giây. Hiệu ứng này có thể cộng dồn tối đa 5 lần.","Healing effects are raised by {0}%. When normal attacks or charged attacks land, ATK is raised by {1}% for all characters. Lasts for 12 seconds. This can be stacked for max. 5 times."
resonance liberation,1477,mistral_translate_work\split_by_prompt\json\ui\lang_advice\lang_advice__ui__part_0001.json,2,Resonance Liberation,Resonance Liberation
cooldown,1359,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_201010_MonsterTips,"Khi đánh trúng kẻ địch, Basic Attack giảm Cooldown của Resonance Liberation đi 1 giây, kích hoạt tối đa 1 lần mỗi giây.","When hitting an enemy, Basic Attacks reduce the Cooldown of Resonance Liberation by 1 second, triggered up to once every second."
may,896,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0011.json,FunctionCondition_10144_Desc,"Trò chơi bài dành cho hai người. Để chiến thắng, bạn cần sự quan sát, chiến thuật và tất nhiên, một chút may mắn.","A card game for two. To win, you need perception, strategy, and, of course, a bit of luck."
attack,591,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0008.json,PrefabTextItem_3910592795_Text,Namipon hệ Attack,Attack-Type Namipon
mid-air attack,532,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8703_Tips,"Crash and Burn
Hiệu ứng mặc định: Tất cả thành viên trong đội tăng 50% ATK khi ở trên không và không thể bị hạ gục trong thử thách.
Hiệu ứng chính: Thực hiện Mid-air Attack sẽ triệu hồi Thiên Thạch, gây Fusion DMG bằng 300% ATK của Resonator. Hiệu ứng này có thể kích hoạt mỗi 3 giây.
Hiệu ứng tăng cường: Tất cả thành viên trong đội tăng 10% Crit. DMG mỗi giây khi ở trên không, cộng dồn tối đa 10 lần.
Hiệu ứng tối thượng: Thiên Thạch phát nổ khi trúng mục tiêu, gây Fusion DMG bằng 200% ATK của Resonator và tạo vùng lửa gây Fusion DMG bằng 380% ATK của Resonator.","Crash and Burn
Default Buff: All team members' ATK is increased by 50% while in mid-air and they cannot be downed during the challenge.
Primary Buff: Performing Mid-air Attack summons a Meteorite, dealing Fusion DMG equal to 300% of the Resonator's ATK. This effect can be triggered once every 3s.
Enhanced Buff: All team members' Crit. DMG is increa"
intro skill,506,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8151_MonsterTips,"Breath Alloy:
Concerto Energy của Resonators <color=Wind>Aero</color> và <color=Light>Spectro</color> được phục hồi tự động
Khi Resonators <color=Wind>Aero</color> sử dụng Intro Skill, một cơn lốc sẽ được triệu hồi.
Khi Resonators <color=Light>Spectro</color> sử dụng Intro Skill, gây <color=Light>Spectro DMG</color> và đánh dấu kẻ địch trong phạm vi nhất định. Một vụ nổ sẽ được kích hoạt khi kẻ địch bị đánh dấu nhận sát thương, gây thêm sát thương.","Breath Alloy:
Concerto Energy of <color=Wind>Aero</color> and <color=Light>Spectro</color> Resonators is automatically restored
When <color=Wind>Aero</color> Resonators cast Intro Skills, a whirlwind will be summoned.
When <color=Light>Spectro</color> Resonators cast Intro Skills, deal <color=Light>Spectro DMG</color> to and mark the enemies within"
normal attack,452,mistral_translate_work\split_by_prompt\json\ui\lang_menu\lang_menu__ui__part_0001.json,96,Normal Attack,Normal Attack
