severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
113.06,29,0.906,always; and; aren't; as; As; at; companions; Dorothy; fall; her; how; I; knocked; many; matter; out; same; save; stays; time; times; to; true; will; word; you; your,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0191.json,Event_TMDZJ_1_22,"<color=Highlight>As long as you and your companions aren't knocked out at the same time, I will save you no matter how many times you fall. Dorothy always stays true to her word!</color>","<color=Highlight>As long as you and your companions aren't knocked out at the same time, I will save you no matter how many times you fall. Dorothy always stays true to her word!</color>"
92.2,23,0.92,a; could; dueling; get; have; I; less; nervous; of; Peaks; Prestige; R; right; round; seem; to; when; with; you,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0091.json,Side_BVBSTTZ_11_8,"R-right, could you have a round of Peaks of Prestige with me? I seem to get less nervous when dueling.:::Ừm, cậu có thể chơi một ván Peaks of Prestige với tớ không? Tớ thấy khi đấu thì không còn hồi hộp nữa.","R-right, could you have a round of Peaks of Prestige with me? I seem to get less nervous when dueling."
79.0,20,0.8,a; cafe's; check; feel; from; get; go; Guess; I; I'll; it; location; of; out; R; really; think; Umm; you,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0087.json,Event_SJXBZ_3_3,R-really?! Umm… I think I can get a feel of the cafe's location from you. Guess I'll go check it out.:::Thật à?! Ừm… tớ nghĩ tớ có thể hình dung ra vị trí quán cà phê từ lời cậu rồi. Chắc tớ sẽ đi xem thử.,R-really?! Umm… I think I can get a feel of the cafe's location from you. Guess I'll go check it out.
73.95,17,0.895,about; are; conclusion; deduction; depending; direction; diverge; final; make; of; on; significantly; story; to; will; your,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0211.json,RogueRes_EventPlot_Des_510061_11,<color=RedD>Bạn are about to make your final deduction. The direction of the story will diverge significantly depending on your conclusion.</color>,<color=RedD>You are about to make your final deduction. The direction of the story will diverge significantly depending on your conclusion.</color>
72.75,21,0.875,a; as; could; droplets; ever; exhibit; foot; has; help; medium; on; one; places; properties; quantum; reach; set; they; unique; us; Used,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0121.json,MAIN_YHX_35_6,"<color=YellowD>The droplets exhibit unique quantum properties. Used as a medium, they could help us reach places no one on Solaris has ever set foot</color>","<color=YellowD>The droplets exhibit unique quantum properties. Used as a medium, they could help us reach places no one on Solaris has ever set foot</color>."
67.0,18,0.9,after; creations; curtain; falls; ghosts; O; offer; one; Only; ready; rise; shall; slumberer; stirs; submerged; survive; to; your,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0211.json,RogueRes_EventPlot_Des_510011_8,"<color=RedD>The submerged slumberer stirs, ready to rise.
O ghosts, offer your creations. Only one shall survive after the curtain falls.</color>","<color=RedD>The submerged slumberer stirs, ready to rise.
O ghosts, offer your creations. Only one shall survive after the curtain falls.</color>"
66.73,17,0.773,and; available; difficulty; extreme; imaginable; in; Modules; most; of; ramp; scenarios; selection; Stress; throw; to; up; you,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0169.json,Event_JXWJ_2_30,"Với những ai muốn thêm gia vị cho cuộc chơi, sẽ có <color=yellow>selection of Stress Modules available to ramp up the difficulty and throw you in the most extreme scenarios imaginable</color>.","For those looking to spice things up, there'll be a <color=yellow>selection of Stress Modules available to ramp up the difficulty and throw you in the most extreme scenarios imaginable</color>."
66.73,17,0.773,and; available; difficulty; extreme; imaginable; in; Modules; most; of; ramp; scenarios; selection; Stress; throw; to; up; you,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0169.json,Event_JXWJ_3_30,"Với những ai muốn thêm gia vị cho cuộc chơi, sẽ có <color=yellow>selection of Stress Modules available to ramp up the difficulty and throw you in the most extreme scenarios imaginable</color>.","For those looking to spice things up, there'll be a <color=yellow>selection of Stress Modules available to ramp up the difficulty and throw you in the most extreme scenarios imaginable</color>."
66.41,16,0.941,a; annoying; bit; but; I; overenthusiastic; R; really; remember; right; that; was; wasn't,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0150.json,GNNPC_SJYD_2_11,"R-really? I do remember that I was a bit overenthusiastic, but I wasn't that annoying, right?:::Thật à? Tớ có hơi hăng quá chút thôi, chứ không đến nỗi phiền đấy chứ?","R-really? I do remember that I was a bit overenthusiastic, but I wasn't that annoying, right?"
62.0,15,1.0,been; cool; haha; I; I've; it; line; R; rather; really; saving; that; thought; was,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0116.json,Side_ZLBQDJB_2_10,"R-really? I thought that line was rather cool. I've been saving it, haha.:::Thật à? Tớ thấy câu đó ngầu lắm cơ. Tớ giữ nó từ lâu rồi, haha.","R-really? I thought that line was rather cool. I've been saving it, haha."
60.86,11,0.786,Aleph; back; descended; go; I; it; moment; to; use; very,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0122.json,MAIN_YHX_119_23,Điều đó có nghĩa là… <color=RedD>I can use it to go back. Quay lại to the very moment Aleph-1 descended!</color>,It means… <color=RedD>I can use it to go back. Back to the very moment Aleph-1 descended!</color>
60.33,15,0.833,capabilities; combat; conditions; Crisis; extreme; its; of; participants; put; simulate; test; that; to; Trials; under,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0169.json,Event_JXWJ_2_17,Nó sử dụng dữ liệu từ khắp Solaris-3 để <color=yellow>simulate Crisis Trials that put the combat capabilities of its participants to the test under extreme conditions</color>.,"It uses data from all over Solaris-3, to <color=yellow>simulate Crisis Trials that put the combat capabilities of its participants to the test under extreme conditions</color>."
60.33,15,0.833,capabilities; combat; conditions; Crisis; extreme; its; of; participants; put; simulate; test; that; to; Trials; under,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0169.json,Event_JXWJ_3_17,Nó sử dụng dữ liệu từ khắp Solaris-3 để <color=yellow>simulate Crisis Trials that put the combat capabilities of its participants to the test under extreme conditions</color>.,"It uses data from all over Solaris-3, to <color=yellow>simulate Crisis Trials that put the combat capabilities of its participants to the test under extreme conditions</color>."
60.0,12,0.8,a; as; As; be; cat; cats; definitely; find; guide; our; to; we,story_dialogue,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0192.json,Side_MSTB_18_7,"Giờ thì, loài người chúng ta có thể không ngửi thấy, nhưng <color=Highlight>cats definitely can... As long as we find a cat to be our guide…</color>","Now, we humans might not be able to smell it, but <color=Highlight>cats definitely can... As long as we find a cat to be our guide…</color>"
