en_source,vn_translate,loi_du_doan
Divinator,Divinator,C?n ti?ng Anh nghi v?n: Divinator | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Mornye,Mornye,C?n ti?ng Anh nghi v?n: Mornye | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Sigrika?,Sigrika?,C?n ti?ng Anh nghi v?n: Sigrika | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Denia,Denia,C?n ti?ng Anh nghi v?n: Denia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Isla,Isla,C?n ti?ng Anh nghi v?n: Isla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Isla?,Isla?,C?n ti?ng Anh nghi v?n: Isla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Anticipating Voice,Anticipating Giọng nói,C?n ti?ng Anh nghi v?n: Anticipating | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lucilla,Lucilla,C?n ti?ng Anh nghi v?n: Lucilla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Repairer,Repairer,C?n ti?ng Anh nghi v?n: Repairer | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Laurenie,Laurenie,C?n ti?ng Anh nghi v?n: Laurenie | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Logistics Team Member,Thành Viên Đội Logistics,C?n ti?ng Anh nghi v?n: Logistics | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Isla,Isla,C?n ti?ng Anh nghi v?n: Isla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Isla?,Isla?,C?n ti?ng Anh nghi v?n: Isla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
{message} Lucilla,{message} Lucilla,C?n ti?ng Anh nghi v?n: Lucilla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Seryll,Seryll,C?n ti?ng Anh nghi v?n: Seryll | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
