en_source,vn_translate,loi_du_doan
"- When the Battle Stage starts, you lose {0} HP.","Khi Battle Stage bắt đầu, bạn mất {0} HP.",C?n ti?ng Anh nghi v?n: Battle; Stage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Unlock any 3 Resonance Nexus in Lahai-Roi,Mở khóa 3 Resonance Nexus bất kỳ tại Lahai-Roi,C?n ti?ng Anh nghi v?n: Lahai; Nexus | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Defeat the Round 2 enemies of Singularity Expansion in Doubled Pawns Matrix,Tiêu diệt đợt địch thứ 2 của Singularity Expansion trong Ma Trận Tốt Đôi,C?n ti?ng Anh nghi v?n: Expansion; Singularity | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Activate Resonance Nexus in Hunter's Den in Sanguis Plateaus,Kích hoạt Mạch Resonance tại Hang Thợ Săn - Sanguis Plateaus,C?n ti?ng Anh nghi v?n: Plateaus; Sanguis | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"A hardened horn from a Titanhorn Antelope. These creatures are known to feed on stone in the most unforgiving environments, resulting in horns as tough as the rocks they consume.","Một chiếc sừng cứng cáp của loài Titanhorn Antelope. Những sinh vật này nổi tiếng với việc ăn đá trong những môi trường khắc nghiệt nhất, tạo nên những chiếc sừng cứng như chính những tảng đá chúng nuốt vào.",C?n ti?ng Anh nghi v?n: Antelope; Titanhorn | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Glacio Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Glacio, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Glacio Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Glacio, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Electro Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Electro, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Electro Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Electro, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Havoc Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Havoc, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Havoc Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Havoc, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Fusion Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Fusion, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Fusion Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Fusion, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Aero Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Aero, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Aero Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Aero, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Spectro Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Spectro, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Open to get 1 random Spectro Echo, a material for weapon and skill upgrade, and Shell Credits.","Mở để nhận ngẫu nhiên 1 Echo Spectro, vật liệu nâng cấp vũ khí và kỹ năng, cùng với Shell Credits.",C?n ti?ng Anh nghi v?n: Credits; Shell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"A guidebook obtained by chance, used to enhance Rover's Fishing Ability, and increase the sale price of catch.","Cuốn sách hướng dẫn tình cờ kiếm được, dùng để nâng cao Fishing Ability của Rover và tăng giá bán của mẻ câu.",C?n ti?ng Anh nghi v?n: Ability; Fishing | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
A data module for Cubes. Equip to increase Healing.,Mô-đun dữ liệu cho Cube. Equip để tăng hiệu quả Healing.,C?n ti?ng Anh nghi v?n: Equip; Healing | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Summons an Echo to support you in combat. It does not take damage from the Resonators.

This Token has unlimited uses in Whimpering Wastes.","Triệu hồi một Echo hỗ trợ chiến đấu. Nó không chịu sát thương từ Resonators.

Mã thông báo này có thể sử dụng không giới hạn tại Whimpering Wastes.",C?n ti?ng Anh nghi v?n: Wastes; Whimpering | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"A guidebook obtained by chance, used to enhance Rover's Fishing Ability, and increase the sale price of catch.","Cuốn sách hướng dẫn tình cờ kiếm được, dùng để nâng cao Fishing Ability của Rover và tăng giá bán của mẻ câu.",C?n ti?ng Anh nghi v?n: Ability; Fishing | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"When a Resonator inflicts Aero Erosion upon enemies, the active Resonator in the team gains 40% Aero DMG Bonus for 15s, stacking up to 3 times.","Khi một Resonator gây hiệu ứng Aero Erosion lên kẻ địch, Resonator đang hoạt động trong đội sẽ nhận được 40% Aero DMG Bonus trong 15 giây, có thể tích lũy tối đa 3 lần.",C?n ti?ng Anh nghi v?n: Bonus; Erosion | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.2 | M?c ??: 11.0
Tap {0} to use Resonance Skill.,Nhấn {0} để sử dụng Resonance Skill.,C?n ti?ng Anh nghi v?n: Skill | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Tap {0} to use Resonance Liberation.,Nhấn {0} để sử dụng Resonance Liberation.,C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Deal damage with Resonance Liberation,Gây sát thương bằng Resonance Liberation.,C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Defeat 2 enemies with Resonance Liberation DMG: {挑战3统计}/2,Tiêu diệt 2 kẻ địch bằng Sát Thương Resonance Liberation: {挑战3统计}/2,C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Defeat 2 enemies with Resonance Liberation DMG: {挑战3统计}/2,Tiêu diệt 2 kẻ địch bằng Sát Thương Resonance Liberation: {挑战3统计}/2,C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Defeat 3 enemies with Resonance Liberation DMG: {挑战2统计}/3,Tiêu diệt 3 kẻ địch bằng Sát thương Resonance Liberation: {挑战2统计}/3,C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Defeat 3 enemies with Resonance Liberation DMG: {挑战2统计}/3,Tiêu diệt 3 kẻ địch bằng Sát thương Resonance Liberation: {挑战2统计}/3,C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Buff List,Danh Sách Buff,C?n ti?ng Anh nghi v?n: Buff | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Use Resonance Skill 4 times: {挑战3统计} /4,Sử dụng Resonance Skill 4 lần: {挑战3统计} /4,C?n ti?ng Anh nghi v?n: Skill | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Use Resonance Skill 4 times: {挑战3统计} /4,Sử dụng Resonance Skill 4 lần: {挑战3统计} /4,C?n ti?ng Anh nghi v?n: Skill | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Defeat 1 enemies with Resonance Liberation DMG: {ScoreKill02} /1,Tiêu diệt 1 kẻ địch bằng Sát Thương Resonance Liberation: {ScoreKill02} /1,C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Defeat all enemies using Resonance Liberation: {ScoreKill02} /1,Tiêu diệt hết kẻ địch bằng Resonance Liberation: {ScoreKill02} /1,C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Resonance Skill DMG: 0/20000,Sát Thương Resonance Skill: 0/20000,C?n ti?ng Anh nghi v?n: Skill | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
