severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
25.71,4,0.571,Attack; Heavy; Normal,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,26,"Hiệu ứng hồi phục được tăng {0}%. Khi Normal Attack hoặc Heavy Attack trúng mục tiêu, ATK của tất cả nhân vật được tăng {1}% trong 12 giây. Hiệu ứng này có thể cộng dồn tối đa 5 lần.","Healing effects are raised by {0}%. When normal attacks or charged attacks land, ATK is raised by {1}% for all characters. Lasts for 12 seconds. This can be stacked for max. 5 times."
17.71,4,0.571,Desorocks; Midnight; Rangers; Tiancheng,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,244,"Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự bảo vệ của họ dành cho Tiancheng. Một bài thơ ca ngợi họ: ""Nhìn về phía bắc thành phố hồ đến Desorocks, mưa hơi nước cản trở cổng thành.""","A weapon specially made for the Midnight Rangers, to commemorate their guard for Tiancheng. A poem appreciates them: ""Look north of the city of lake to Desorocks, steamy rains hinder the the gates."""
17.71,4,0.571,Desorocks; Midnight; Rangers; Tiancheng,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,245,"Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự bảo vệ của họ dành cho Tiancheng. Một bài thơ ca ngợi họ: ""Nhìn về phía bắc thành phố hồ đến Desorocks, mưa hơi nước cản trở cổng thành.""","A weapon specially made for the Midnight Rangers, to commemorate their guard for Tiancheng. A poem appreciates them: ""Look north of the city of lake to Desorocks, steamy rains hinder the the gates."""
17.71,4,0.571,Desorocks; Midnight; Rangers; Tiancheng,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,246,"Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự bảo vệ của họ dành cho Tiancheng. Một bài thơ ca ngợi họ: ""Nhìn về phía bắc thành phố hồ đến Desorocks, mưa hơi nước cản trở cổng thành.""","A weapon specially made for the Midnight Rangers, to commemorate their guard for Tiancheng. A poem appreciates them: ""Look north of the city of lake to Desorocks, steamy rains hinder the the gates."""
13.86,2,0.286,Attack; Normal,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,14,"DMG của tất cả thuộc tính được tăng {0}%. Khi Normal Attack trúng mục tiêu, ATK và DEF được tăng {1}% trong {2} giây. Hiệu ứng này có thể cộng dồn tối đa {3} lần và kích hoạt mỗi {4} giây.","DMG of all attributes are raised by {0}%. When normal attacks land, ATK and DEF are raised by {1}%, which lasts for {2} seconds. This can be stacked for max. {3} times and triggered once every {4} seconds."
13.0,2,0.4,Skill; Vibrancy,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,62,"Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.","For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds."
13.0,2,0.4,Skill; Vibrancy,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,68,"Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.","For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds."
13.0,2,0.4,Skill; Vibrancy,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,74,"Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.","For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds."
13.0,2,0.4,Skill; Vibrancy,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,80,"Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.","For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds."
13.0,2,0.4,Skill; Vibrancy,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,86,"Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.","For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds."
10.0,2,0.4,Midnight; Rangers,weapon,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,232,"Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự cống hiến của họ. Một bài thơ ca ngợi họ: ""Nếu thân ta được thắp sáng, ngọn lửa sẽ thiêu rụi cái ác.""","A weapon specially made for the Midnight Rangers, to commemorate their dedication. A poem appreciates them: ""should my body be lit, the flame will burn evil."""
